subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.392
HAEB38,1,0,-1.0,0.396825396825397
HAEB38,1,0,-1.0,0.393700787401575
HAEB38,1,0,-1.0,0.389312977099237
HAEB38,1,1,0.0649679548145714,0.383458646616541
HAEB38,0,0,-1.0,0.380597014925373
HAEB38,0,0,-1.0,0.385185185185185
HAEB38,0,0,-1.0,0.389705882352941
HAEB38,1,0,-1.0,0.394160583941606
HAEB38,1,1,-0.2190016763647818,0.391304347826087
HAEB38,0,0,-1.0,0.385714285714286
HAEB38,1,0,-1.0,0.384615384615385
HAEB38,1,0,-1.0,0.378378378378378
HAEB38,1,0,-1.0,0.373333333333333
HAEB38,1,0,-1.0,0.370860927152318
HAEB38,1,0,-1.0,0.366013071895425
HAEB38,1,0,-1.0,0.358974358974359
HAEB38,1,0,-1.0,0.360759493670886
HAEB38,1,0,-1.0,0.355828220858896
HAEB38,1,0,-1.0,0.343195266272189
HAEB38,1,0,-1.0,0.341176470588235
